Spectrum,Observed,Ritz,Transition,Rel.,Aki,fik,Acc.,Ei           Ek,Lower level,Upper level,gi   gk,Type,TP,Line
C I,799.0086,799.0084,12515.51,9800,300000.0,0.009,D,9.17184612    -     10.7235720,2s2.2p.3p       | 1S   | 0,2s2.2p.5d            | 1P*     | 1,1 - 3,,T5520,L17684
C I,799.4724,799.4737,12508.249,2900,,,,9.33030708    -     10.881130,2s.2p3          | 3P*  | 1,2s2.2p.(2P*<1/2>).6f | 2[5/2]  | 2,3 - 5,,,L17684
C I,799.562,799.5563,12506.85,10000*,,,,9.330467271   -     10.881130,2s.2p3          | 3P*  | 2,2s2.2p.(2P*<1/2>).6f | 2[5/2]  | 2,5 - 5,,,L17684
C I,799.562,799.561,12506.85,10000*,,,,9.330467271   -     10.881120,2s.2p3          | 3P*  | 2,2s2.2p.(2P*<1/2>).6f | 2[5/2]  | 3,5 - 7,,,L17684
C I,801.718,801.72294,12473.2,15000,500000.0,0.008,D,8.848124381   -     10.39459625,2s2.2p.3p       | 3P   | 1,2s2.2p.4d            | 3D*     | 2,3 - 5,,T6070n,L9405c184
C I,802.0769,802.07808,12467.632,6000,260000.0,0.007,D,8.84658790    -     10.39237505,2s2.2p.3p       | 3P   | 0,2s2.2p.4d            | 3D*     | 1,1 - 3,,T6070n,L17684
C III,,802.336,12463.61,,50100000.0,0.677,B,42.980156      -     44.525447,1s2.2s.5d       | 1D   | 2,1s2.2s.6f            | 1F*     | 3,5 - 7,,T5633,
C I,802.347,802.345411,12463.44,16000,320000.0,0.0043,D,8.850662829   -     10.39593494,2s2.2p.3p       | 3P   | 2,2s2.2p.4d            | 3D*     | 3,5 - 7,,T6070n,L9405c184
C I,802.89,802.87612,12455.0,9200w,80000.0,0.0008,D,8.848124381   -     10.39237505,2s2.2p.3p       | 3P   | 1,2s2.2p.4d            | 3D*     | 1,3 - 3,,T6070n,L2138
C I,803.05,803.04109,12452.5,2300d,2300.0,2.2e-05,D,8.850662829   -     10.39459625,2s2.2p.3p       | 3P   | 2,2s2.2p.4d            | 3D*     | 2,5 - 5,,T6070n,L2138
C II,803.107,803.1058,12451.64,6,1710000.0,0.0165,B,23.114048      -     24.657857,2s.2p.(3P*).3p  | 4P   | 1/2,2s.2p.(3P*).3d       | 4P*     | 1/2,2 - 2,,T5109LS,L1176
C I,803.81,803.8167,12440.7,12000w,,,,9.17184612    -     10.7142898,2s2.2p.3p       | 1S   | 0,2s2.2p.6s            | 1P*     | 1,1 - 3,,,L2138
C II,803.997,803.9942,12437.86,13,4260000.0,0.0826,B,23.114048      -     24.656151,2s.2p.(3P*).3p  | 4P   | 1/2,2s.2p.(3P*).3d       | 4P*     | 3/2,2 - 4,,T5109LS,L1176
C II,804.1601,804.1611,12435.33,16,8510000.0,0.0413,B,23.116074      -     24.657857,2s.2p.(3P*).3p  | 4P   | 3/2,2s.2p.(3P*).3d       | 4P*     | 1/2,4 - 2,,T5109LS,L1176
C I,804.7546,804.75436,12426.149,27000,270000.0,0.0044,B,8.848124381   -     10.38877088,2s2.2p.3p       | 3P   | 1,2s2.2p.5s            | 3P*     | 2,3 - 5,,T6070n,L17684
C II,805.0533,805.0519,12421.54,8,1360000.0,0.0132,B,23.116074      -     24.656151,2s.2p.(3P*).3p  | 4P   | 3/2,2s.2p.(3P*).3d       | 4P*     | 3/2,4 - 4,,T5109LS,L1176
C I,806.081,806.0825,12405.71,59000,1090000.0,0.0106,B,8.850662829   -     10.38877088,2s2.2p.3p       | 3P   | 2,2s2.2p.5s            | 3P*     | 2,5 - 5,,T6070n,L9405c184
C II,806.4337,806.4328,12400.28,13,3040000.0,0.0444,B,23.116074      -     24.653514,2s.2p.(3P*).3p  | 4P   | 3/2,2s.2p.(3P*).3d       | 4P*     | 5/2,4 - 6,,T5109LS,L1176
C I,806.4573,806.45842,12399.912,21000,480000.0,0.014,B,8.84658790    -     10.38397899,2s2.2p.3p       | 3P   | 0,2s2.2p.5s            | 3P*     | 1,1 - 3,,T6070n,L17684
C II,806.4997,806.501,12399.26,16,4560000.0,0.0296,B,23.118841      -     24.656151,2s.2p.(3P*).3p  | 4P   | 5/2,2s.2p.(3P*).3d       | 4P*     | 3/2,6 - 4,,T5109LS,L1176
C I,807.2635,807.2652,12387.529,21000,380000.0,0.0037,B,8.848124381   -     10.38397899,2s2.2p.3p       | 3P   | 1,2s2.2p.5s            | 3P*     | 1,3 - 3,,T6070n,L17684
C II,807.8861,807.8869,12377.98,28,7040000.0,0.0689,B,23.118841      -     24.653514,2s.2p.(3P*).3p  | 4P   | 5/2,2s.2p.(3P*).3d       | 4P*     | 5/2,6 - 6,,T5109LS,L1176
C I,,808.024377,12375.86425,,12000.0,0.00017,C,8.850662829   -     10.385074438,2s2.2p.3p       | 3P   | 2,2s2.2p.4d            | 3F*     | 3,5 - 7,,T6070,
C I,808.0701,808.07033,12375.163,28000,1560000.0,0.0051,B,8.848124381   -     10.38244873,2s2.2p.3p       | 3P   | 1,2s2.2p.5s            | 3P*     | 0,3 - 1,,T6070n,L17684
C I,808.602,808.60165,12367.024,32000,630000.0,0.0037,B,8.850662829   -     10.38397899,2s2.2p.3p       | 3P   | 2,2s2.2p.5s            | 3P*     | 1,5 - 3,,T6070n,L17684
C II,814.28,814.275,12280.79,25*,3210000.0,0.0425,B,22.187763      -     23.710396,2s2.5f          | 2F*  | 5/2,2s2.9g               | 2G      | 7/2,6 - 8,,T7476,"L21568,L22145"
C II,814.28,814.28,12280.79,25*,3320000.0,0.0413,B,22.187773      -     23.710397,2s2.5f          | 2F*  | 7/2,2s2.9g               | 2G      | 9/2,8 - 10,,T7476,"L21568,L22145"
C II,814.28,814.281,12280.79,25*,120000.0,0.0012,D+,22.187773      -     23.710396,2s2.5f          | 2F*  | 7/2,2s2.9g               | 2G      | 7/2,8 - 8,,T7476,"L21568,L22145"
C I,,815.78865,12258.0769,,4000.0,6e-05,E,7.48277598    -      9.00258381,2s2.2p.3s       | 3P*  | 1,2s2.2p.3p            | 1D      | 2,3 - 5,,T9787,
U I,817.691,,12229.56,16,,,,,|      |,|         |,,,,L3475
C I,,818.493634,12217.566,,1500.0,1.6e-05,E,7.48779869    -      9.00258381,2s2.2p.3s       | 3P*  | 2,2s2.2p.3p            | 1D      | 2,5 - 5,,T9787,
C III,819.873,,12197.01,300w,,,,,|      |,|         |,,,,L1113
C II,,821.761,12168.99,m(N I),2060000.0,0.026,B,22.202225      -    [23.710987],2s2.5g          | 2G   | 7/2,2s2.9h               | 2H*     | 9/2,8 - 10,,T7476,"L21568,L22145"
C II,,821.766,12168.92,m(N I),47000.0,0.00047,D+,22.202234      -    [23.710987],2s2.5g          | 2G   | 9/2,2s2.9h               | 2H*     | 9/2,10 - 10,,T7476,"L21568,L22145"
C II,,821.766,12168.92,m(N I),2100000.0,0.0255,B,22.202234      -    [23.710987],2s2.5g          | 2G   | 9/2,2s2.9h               | 2H*     | 11/2,10 - 12,,T7476,"L21568,L22145"
C II,,823.706,12140.26,m(Mg II),28000.0,0.00022,E,22.202225      -     23.707425,2s2.5g          | 2G   | 7/2,2s2.9f               | 2F*     | 5/2,8 - 6,,T7476,L21568
C II,,823.705,12140.27,m(Mg II),800.0,8e-06,E,22.202225      -     23.707426,2s2.5g          | 2G   | 7/2,2s2.9f               | 2F*     | 7/2,8 - 8,,T7476,L21568
C II,,823.71,12140.2,m(Mg II),28000.0,0.00022,E,22.202234      -     23.707426,2s2.5g          | 2G   | 9/2,2s2.9f               | 2F*     | 7/2,10 - 8,,T7476,L21568
C III,,825.754,12110.14,,16900.0,0.000242,B,41.334721      -     42.836187,1s2.2p.(2P*).3d | 3F*  | 2,1s2.2s.5d            | 3D      | 3,5 - 7,,T5633LS,
C III,,825.784,12109.71,,839000.0,0.00858,B,41.334721      -     42.836134,1s2.2p.(2P*).3d | 3F*  | 2,1s2.2s.5d            | 3D      | 2,5 - 5,,T5633LS,
C III,,825.794,12109.56,,7530000.0,0.0462,B,41.334721      -     42.836115,1s2.2p.(2P*).3d | 3F*  | 2,1s2.2s.5d            | 3D      | 1,5 - 3,,T5633LS,
U I,826.433,,12100.19,18,,,,,|      |,|         |,,,,L3475
C III,,827.431,12085.6,,596000.0,0.00612,B,41.337764      -     42.836187,1s2.2p.(2P*).3d | 3F*  | 3,1s2.2s.5d            | 3D      | 3,7 - 7,,T5633LS,
C III,,827.46,12085.17,,6650000.0,0.0488,B,41.337764      -     42.836134,1s2.2p.(2P*).3d | 3F*  | 3,1s2.2s.5d            | 3D      | 2,7 - 5,,T5633LS,
C II,,828.77,12066.0,m(He I),1800000.0,0.036,D+,21.732863      -     23.22886,2s2.5p          | 2P*  | 1/2,2s2.7d               | 2D      | 3/2,2 - 4,,T7476,"L21568,L22145"
C II,829.28,829.28,12058.7,19bl(He I)*,2110000.0,0.0326,B,21.733778      -     23.22886,2s2.5p          | 2P*  | 3/2,2s2.7d               | 2D      | 5/2,4 - 6,,T7476,L21568
C II,829.28,829.28,12058.7,19bl(He I)*,350000.0,0.0036,D+,21.733778      -     23.22886,2s2.5p          | 2P*  | 3/2,2s2.7d               | 2D      | 3/2,4 - 4,,T7476,L21568
C III,,829.882,12049.91,,6810000.0,0.0547,B,41.342189      -     42.836187,1s2.2p.(2P*).3d | 3F*  | 4,1s2.2s.5d            | 3D      | 3,9 - 7,,T5633LS,
C III,,831.933,12020.2,,7610000.0,0.132,B,42.986900      -     44.477215,1s2.2p.(2P*).3d | 1P*  | 1,1s2.2s.6d            | 1D      | 2,3 - 5,,T5633,
U I,832.064,,12018.31,16,,,,,|      |,|         |,,,,L3475
C III,,832.345,12014.25,,10500000.0,0.327,B,42.786380      -     44.275957,1s2.2p.(2P*).3p | 1S   | 0,1s2.2s.6p            | 1P*     | 1,1 - 3,,T5633,
C III,833.528,833.529,11997.2,150,27000000.0,0.362,B,39.854727      -     41.342189,1s2.2s.4d       | 3D   | 3,1s2.2p.(2P*).3d      | 3F*     | 4,7 - 9,,T5633LS,L1113
C I,833.74351,833.743553,11994.0963,5900000,35100000.0,0.122,B+,7.68476777    -      9.17184612,2s2.2p.3s       | 1P*  | 1,2s2.2p.3p            | 1S      | 0,3 - 1,,"T5520,T6070,T4828,u24",L12175c183
U II,833.979,,11990.71,16,,,,,|      |,|         |,,,,L3475
C III,,834.39,11984.81,,23900000.0,0.349,B,39.851837      -     41.337764,1s2.2s.4d       | 3D   | 2,1s2.2p.(2P*).3d      | 3F*     | 3,5 - 7,,T5633LS,
C III,,835.024,11975.7,,22600000.0,0.394,B,39.849924      -     41.334721,1s2.2s.4d       | 3D   | 1,1s2.2p.(2P*).3d      | 3F*     | 2,3 - 5,,T5633LS,
C III,,836.016,11961.5,,2980000.0,0.0312,B,39.854727      -     41.337764,1s2.2s.4d       | 3D   | 3,1s2.2p.(2P*).3d      | 3F*     | 3,7 - 7,,T5633LS,
C III,,836.102,11960.27,,4170000.0,0.0437,B,39.851837      -     41.334721,1s2.2s.4d       | 3D   | 2,1s2.2p.(2P*).3d      | 3F*     | 2,5 - 5,,T5633LS,
C III,,837.026,11947.06,,31600.0,0.000553,B,39.401746      -     40.882992,1s2.2s.4p       | 3P*  | 1,1s2.2p.(2P*).3p      | 3P      | 2,3 - 5,,T5633LS,
C III,,837.362,11942.27,,94600.0,0.000994,B,39.402339      -     40.882992,1s2.2s.4p       | 3P*  | 2,1s2.2p.(2P*).3p      | 3P      | 2,5 - 5,,T5633LS,
C III,,837.734,11936.96,,117000.0,0.000879,B,39.854727      -     41.334721,1s2.2s.4d       | 3D   | 3,1s2.2p.(2P*).3d      | 3F*     | 2,7 - 5,,T5633LS,
C IV,,838.153,11931.0,,21200000.0,0.223,A,58.36866       -     59.84792,1s2.6p          | 2P*  | 1/2,1s2.7s               | 2S      | 1/2,2 - 2,,T5118LS,
U I,838.417,,11927.23,18,,,,,|      |,|         |,,,,L3475
C IV,,838.427,11927.1,,42300000.0,0.223,A,58.36914       -     59.84792,1s2.6p          | 2P*  | 3/2,1s2.7s               | 2S      | 1/2,4 - 2,,T5118LS,
C III,,839.475,11912.21,,41700.0,0.00132,B,39.401467      -     40.878392,1s2.2s.4p       | 3P*  | 0,1s2.2p.(2P*).3p      | 3P      | 1,1 - 3,,T5633LS,
C III,,839.633,11909.96,,31300.0,0.000331,B,39.401746      -     40.878392,1s2.2s.4p       | 3P*  | 1,1s2.2p.(2P*).3p      | 3P      | 1,3 - 3,,T5633LS,
C III,,839.971,11905.17,,52100.0,0.000331,B,39.402339      -     40.878392,1s2.2s.4p       | 3P*  | 2,1s2.2p.(2P*).3p      | 3P      | 1,5 - 3,,T5633LS,
C III,,841.123,11888.87,,125000.0,0.000442,B,39.401746      -     40.875778,1s2.2s.4p       | 3P*  | 1,1s2.2p.(2P*).3p      | 3P      | 0,3 - 1,,T5633LS,
C II,841.573,841.565,11882.51,6h*,31900000.0,0.424,B,27.225788      -     28.69905,2s.2p.(3P*).4d  | 4F*  | 7/2,2s.2p.(3P*).5f       | 4G      | 9/2,8 - 10,,T10528,L1176
C II,841.573,841.575,11882.51,6h*,38900000.0,0.495,B,27.22939       -     28.70263,2s.2p.(3P*).4d  | 4F*  | 9/2,2s.2p.(3P*).5f       | 4G      | 11/2,10 - 12,,T10528,L1176
C II,841.68,841.672,11881.0,4h*,27400000.0,0.389,B,27.223235      -     28.696305,2s.2p.(3P*).4d  | 4F*  | 5/2,2s.2p.(3P*).5f       | 4G      | 7/2,6 - 8,,T10528,L1176
C II,841.68,841.675,11881.0,4h*,31900000.0,0.509,B,27.22166       -     28.69473,2s.2p.(3P*).4d  | 4F*  | 3/2,2s.2p.(3P*).5f       | 4G      | 5/2,4 - 6,,T10528,L1176
C V,,842.13,11875.0,,6898000.0,0.1223,AA,(352.0643)       -   (353.53653),1s.3s           | 3S   | 1,1s.3p                | 3P*     | 2,3 - 5,,T5997LS,
C I,843.3192,843.3164,11857.907,7000,,,,9.330467271   -     10.800665,2s.2p3          | 3P*  | 2,2s2.2p.6p            | 3P      | 2,5 - 5,,,L17684
C II,,843.63,11853.6,m(Cl III),3810000.0,0.0406,C+,27.22939       -     28.69905,2s.2p.(3P*).4d  | 4F*  | 9/2,2s.2p.(3P*).5f       | 4G      | 9/2,10 - 10,,T10528,L21568
U I,844.353,,11843.39,16,,,,,|      |,|         |,,,,L3475
U I,844.771,,11837.53,35,,,,,|      |,|         |,,,,L3475
C V,,844.88,11836.0,,6832000.0,0.02438,AA,(352.0643)       -   (353.53173),1s.3s           | 3S   | 1,1s.3p                | 3P*     | 0,3 - 1,,T5997LS,
C V,,844.98,11835.0,,6829000.0,0.07313,AA,(352.0643)       -   (353.53156),1s.3s           | 3S   | 1,1s.3p                | 3P*     | 1,3 - 3,,T5997LS,
U I,845.235,,11831.03,18,,,,,|      |,|         |,,,,L3475
C III,850.266,850.266,11761.03,300,10100000.0,0.328,B,30.645207      -     32.103388,1s2.2s.3s       | 1S   | 0,1s2.2s.3p            | 1P*     | 1,1 - 3,,T5633,L1113
C I,851.2783,851.28,11747.039,8600,,,,9.330467271   -     10.786912,2s.2p3          | 3P*  | 2,2s2.2p.6p            | 3D      | 3,5 - 7,,,L17684
C I,853.8606,853.8622,11711.513,8300,,,,9.33030708    -     10.782347,2s.2p3          | 3P*  | 1,2s2.2p.6p            | 3D      | 2,3 - 5,,,L17684
U I,857.287,,11664.7,16,,,,,|      |,|         |,,,,L3475
C I,857.94,857.8742,11655.9,9500H,,,,9.33057587    -     10.775825,2s.2p3          | 3P*  | 0,2s2.2p.6p            | 1P      | 1,1 - 3,,,L2138
C III,,858.444,11649.0,,2080000.0,0.0138,C+,44.491732      -     45.9360,1s2.2s.6f       | 3F*  | 2,1s2.2s.8d            | 3D      | 1,5 - 3,,T5633LS,
C III,,858.444,11649.0,,232000.0,0.00256,C+,44.491732      -     45.9360,1s2.2s.6f       | 3F*  | 2,1s2.2s.8d            | 3D      | 2,5 - 5,,T5633LS,
C III,,858.444,11649.0,,4670.0,7.22e-05,C,44.491732      -     45.9360,1s2.2s.6f       | 3F*  | 2,1s2.2s.8d            | 3D      | 3,5 - 7,,T5633LS,
C III,,858.466,11649.0,,1850000.0,0.0146,C+,44.491769      -     45.9360,1s2.2s.6f       | 3F*  | 3,1s2.2s.8d            | 3D      | 2,7 - 5,,T5633LS,
C III,,858.466,11649.0,,166000.0,0.00183,C+,44.491769      -     45.9360,1s2.2s.6f       | 3F*  | 3,1s2.2s.8d            | 3D      | 3,7 - 7,,T5633LS,
C III,,858.497,11648.0,,1910000.0,0.0164,C+,44.491821      -     45.9360,1s2.2s.6f       | 3F*  | 4,1s2.2s.8d            | 3D      | 3,9 - 7,,T5633LS,
U I,861.031,,11613.98,75,,,,,|      |,|         |,,,,L3475
C III,,865.452,11554.66,,172000.0,0.00322,B,42.836115      -     44.268711,1s2.2s.5d       | 3D   | 1,1s2.2s.6p            | 3P*     | 2,3 - 5,,T5633LS,
C III,,865.463,11554.51,,2580000.0,0.029,B,42.836134      -     44.268711,1s2.2s.5d       | 3D   | 2,1s2.2s.6p            | 3P*     | 2,5 - 5,,T5633LS,
C III,,865.495,11554.08,,14500000.0,0.116,B,42.836187      -     44.268711,1s2.2s.5d       | 3D   | 3,1s2.2s.6p            | 3P*     | 2,7 - 5,,T5633LS,
C III,,865.531,11553.6,,4300000.0,0.0483,B,42.836115      -     44.268579,1s2.2s.5d       | 3D   | 1,1s2.2s.6p            | 3P*     | 1,3 - 3,,T5633LS,
C III,,865.542,11553.45,,12900000.0,0.0869,B,42.836134      -     44.268579,1s2.2s.5d       | 3D   | 2,1s2.2s.6p            | 3P*     | 1,5 - 3,,T5633LS,
C III,,865.59,11552.81,,17200000.0,0.0644,B,42.836115      -     44.268481,1s2.2s.5d       | 3D   | 1,1s2.2s.6p            | 3P*     | 0,3 - 1,,T5633LS,
C II,868.4945,868.4921,11514.18,29,4150000.0,0.0939,B,19.494538      -     20.922118,2s2.4s          | 2S   | 1/2,2p3                  | 2P*     | 3/2,2 - 4,,T5109LS,L1176
U I,869.367,,11502.63,23,,,,,|      |,|         |,,,,L3475
C II,869.9099,869.9086,11495.44,14,4120000.0,0.0468,B,19.494538      -     20.919793,2s2.4s          | 2S   | 1/2,2p3                  | 2P*     | 1/2,2 - 2,,T5109LS,L1176
U I,871.315,,11476.9,18,,,,,|      |,|         |,,,,L3475
C I,872.9523,872.9528,11455.38,,0.6,1.4e-09,B,1.2637284     -      2.6840136,2s2.2p2         | 1D   | 2,2s2.2p2              | 1S      | 0,5 - 1,E2,T7851,L12968
C I,875.552,875.5485,11421.366,26000,500000.0,0.0036,D,9.00258381    -     10.41865840,2s2.2p.3p       | 1D   | 2,2s2.2p.4d            | 1P*     | 1,5 - 3,,"T5520,T6070",L9405c184
U I,875.609,,11420.62,18,,,,,|      |,|         |,,,,L3475
U I,876.017,,11415.31,30,,,,,|      |,|         |,,,,L3475
C II,879.62,879.653,11368.5,5H,20300000.0,0.314,B+,23.385281      -     24.794748,2s.2p.(3P*).3p  | 2D   | 5/2,2s.2p.(3P*).3d       | 2F*     | 7/2,6 - 8,,T9221,L1176
C II,880.23,880.281,11360.6,4H,19000000.0,0.331,B+,23.381096      -     24.789558,2s.2p.(3P*).3p  | 2D   | 3/2,2s.2p.(3P*).3d       | 2F*     | 5/2,4 - 6,,T2440,L1176
C I,,882.10742,11336.4878,m,,,,9.00258381    -     10.40812917,2s2.2p.3p       | 1D   | 2,2s2.2p.4d            | 1F*     | 3,5 - 7,,,L17684
C II,,882.904,11326.26,,1410000.0,0.0164,B+,23.385281      -     24.789558,2s.2p.(3P*).3p  | 2D   | 5/2,2s.2p.(3P*).3d       | 2F*     | 5/2,6 - 6,,T2440,
C I,887.5826,887.5816,11266.557,43000,2050000.0,0.0145,B,9.00258381    -     10.3994604,2s2.2p.3p       | 1D   | 2,2s2.2p.5s            | 1P*     | 1,5 - 3,,"T5520,T6070",L17684
C II,887.589,887.583,11266.48,21p(C I)*,4320000.0,0.0765,B,22.130595      -     23.527470,2s2.5d          | 2D   | 3/2,2s2.8f               | 2F*     | 5/2,4 - 6,,T7476,"L21568,L22145"
C II,887.589,887.602,11266.48,21p(C I)*,4630000.0,0.0729,B,22.130626      -     23.527471,2s2.5d          | 2D   | 5/2,2s2.8f               | 2F*     | 7/2,6 - 8,,T7476,"L21568,L22145"
C II,887.589,887.603,11266.48,21p(C I)*,310000.0,0.0036,D+,22.130626      -     23.527470,2s2.5d          | 2D   | 5/2,2s2.8f               | 2F*     | 5/2,6 - 6,,T7476,"L21568,L22145"
C I,889.311,889.3038,11244.66,20000*,,,,9.33030708    -     10.7244786,2s.2p3          | 3P*  | 1,2s2.2p.(2P*<3/2>).5f | 2[3/2]  | 2,3 - 5,,,L17684
C I,889.311,889.322,11244.66,20000*,,,,9.33030708    -     10.7244500,2s.2p3          | 3P*  | 1,2s2.2p.(2P*<3/2>).5f | 2[3/2]  | 1,3 - 3,,,L17684
C I,890.563,890.56772,11228.85,5100,,,,9.33030708    -     10.7224999,2s.2p3          | 3P*  | 1,2s2.2p.(2P*<3/2>).5f | 2[5/2]  | 2,3 - 5,,,L9405c184
C I,,890.67021,11227.5003,,,,,9.330467271   -     10.7224999,2s.2p3          | 3P*  | 2,2s2.2p.(2P*<3/2>).5f | 2[5/2]  | 2,5 - 5,,,
C I,890.6802,890.67983,11227.374,14000,,,,9.330467271   -     10.72248485,2s.2p3          | 3P*  | 2,2s2.2p.(2P*<3/2>).5f | 2[5/2]  | 3,5 - 7,,,L9405c184
C I,,892.10663,11209.4223,,110000.0,0.00075,C,9.00258381    -     10.39237505,2s2.2p.3p       | 1D   | 2,2s2.2p.4d            | 3D*     | 1,5 - 3,,T6070,
C III,,893.41,11193.0,,6740000.0,0.0484,B,44.477215      -     45.8650,1s2.2s.6d       | 1D   | 2,1s2.2s.8p            | 1P*     | 1,5 - 3,,T5633,
C III,,894.502,11179.0,,634000.0,0.00761,B,45.8650        -     47.25105,1s2.2s.8p       | 1P*  | 1,1s2.2p.(2P*).4p      | 1P      | 1,3 - 3,,T5633,
U I,895.442,,11167.67,16,,,,,|      |,|         |,,,,L3475
C I,896.321,896.31136,11156.72,22000*,,,,9.330467271   -     10.71373880,2s.2p3          | 3P*  | 2,2s2.2p.(2P*<1/2>).5f | 2[5/2]  | 2,5 - 5,,,L17684
C I,896.321,896.31947,11156.72,22000*,,,,9.330467271   -     10.71372629,2s.2p3          | 3P*  | 2,2s2.2p.(2P*<1/2>).5f | 2[5/2]  | 3,5 - 7,,,L17684
C I,,897.52882,11141.7035,,67000.0,0.00048,C,9.00258381    -     10.38397899,2s2.2p.3p       | 1D   | 2,2s2.2p.5s            | 3P*     | 1,5 - 3,,T6070,
U I,899.239,,11120.52,16,,,,,|      |,|         |,,,,L3475
C II,,905.379,11045.1,,380000.0,0.0071,C,26.628437      -     27.99786,2s.2p.(3P*).4p  | 4D   | 3/2,2s.2p.(3P*).5s       | 4P*     | 5/2,4 - 6,,T10528,
C I,906.3922,906.392207,11032.7516,9400000,7300000.0,0.15,B,7.48277598    -      8.850662829,2s2.2p.3s       | 3P*  | 1,2s2.2p.3p            | 3P      | 2,3 - 5,,"T6070n,T4828n,u24",L12175c183
C I,906.49599,906.49599,11031.4885,7600000,9500000.0,0.35,B,7.48039414    -      8.848124381,2s2.2p.3s       | 3P*  | 0,2s2.2p.3p            | 3P      | 1,1 - 3,,"T6070n,T4828n,u24",L12175c183
C II,,907.223,11022.65,,3620000.0,0.0447,C+,26.631221      -     27.99786,2s.2p.(3P*).4p  | 4D   | 5/2,2s.2p.(3P*).5s       | 4P*     | 5/2,6 - 6,,T10528,
C I,908.07737,908.077366,11012.2775,5600000,7100000.0,0.087,B,7.48277598    -      8.848124381,2s2.2p.3s       | 3P*  | 1,2s2.2p.3p            | 3P      | 1,3 - 3,,"T6070n,T4828n,u24",L12175c183
C II,,908.1,11012.0,,1020000.0,0.025,C,26.626817      -     27.99213,2s.2p.(3P*).4p  | 4D   | 1/2,2s.2p.(3P*).5s       | 4P*     | 3/2,2 - 4,,T10528,
C I,909.10043,909.10041,10999.8848,8200000,30000000.0,0.124,B,7.48277598    -      8.84658790,2s2.2p.3s       | 3P*  | 1,2s2.2p.3p            | 3P      | 0,3 - 1,,"T6070n,T4828n,u24",L12175c183
C II,,909.179,10998.93,,6700000.0,0.0831,C+,26.628437      -     27.99213,2s.2p.(3P*).4p  | 4D   | 3/2,2s.2p.(3P*).5s       | 4P*     | 3/2,4 - 4,,T10528,
U I,909.617,,10993.64,10,,,,,|      |,|         |,,,,u10
C I,909.73266,909.732633,10992.2403,19000000,22800000.0,0.28,B,7.48779869    -      8.850662829,2s2.2p.3s       | 3P*  | 2,2s2.2p.3p            | 3P      | 2,5 - 5,,"T6070n,T4828n,u24",L12175c183
C II,,910.04,10988.5,,10800000.0,0.134,C+,26.626817      -     27.98922,2s.2p.(3P*).4p  | 4D   | 1/2,2s.2p.(3P*).5s       | 4P*     | 1/2,2 - 2,,T10528,
C II,,910.068,10988.19,,17200000.0,0.16,B,26.635493      -     27.99786,2s.2p.(3P*).4p  | 4D   | 7/2,2s.2p.(3P*).5s       | 4P*     | 5/2,8 - 6,,T10528,
C II,,911.039,10976.48,,13900000.0,0.115,C+,26.631221      -     27.99213,2s.2p.(3P*).4p  | 4D   | 5/2,2s.2p.(3P*).5s       | 4P*     | 3/2,6 - 4,,T10528,
C II,,911.12,10975.5,,11100000.0,0.0693,C+,26.628437      -     27.98922,2s.2p.(3P*).4p  | 4D   | 3/2,2s.2p.(3P*).5s       | 4P*     | 1/2,4 - 2,,T10528,
C I,911.43025,911.430247,10971.7666,10000000,13500000.0,0.101,B,7.48779869    -      8.848124381,2s2.2p.3s       | 3P*  | 2,2s2.2p.3p            | 3P      | 1,5 - 3,,"T6070n,T4828n,u24",L12175c183
U I,914.207,,10938.44,10,,,,,|      |,|         |,,,,u10
C I,918.539,918.539204,10886.86,100000bl,280000.0,0.0035,C,9.00258381    -     10.35238138,2s2.2p.3p       | 1D   | 2,2s2.2p.4d            | 1D*     | 2,5 - 5,,"T5520,T6070",L9405c184
U I,920.404,,10864.8,10,,,,,|      |,|         |,,,,u10
C II,922.617,922.612,10838.74,42*,5050000.0,0.0859,B,22.187763      -     23.531602,2s2.5f          | 2F*  | 5/2,2s2.8g               | 2G      | 7/2,6 - 8,,T7476,"L21568,L22145"
C II,922.617,922.618,10838.74,42*,5240000.0,0.0835,B,22.187773      -     23.531603,2s2.5f          | 2F*  | 7/2,2s2.8g               | 2G      | 9/2,8 - 10,,T7476,"L21568,L22145"
C II,922.617,922.619,10838.74,42*,190000.0,0.0024,D+,22.187773      -     23.531602,2s2.5f          | 2F*  | 7/2,2s2.8g               | 2G      | 7/2,8 - 8,,T7476,"L21568,L22145"
C II,923.25,923.173,10831.3,18wH*,38000000.0,0.729,B,20.844740      -     22.187763,2s2.4d          | 2D   | 3/2,2s2.5f               | 2F*     | 5/2,4 - 6,,T7476,L1176
C II,923.25,923.183,10831.3,18wH*,40800000.0,0.695,B+,20.844765      -     22.187773,2s2.4d          | 2D   | 5/2,2s2.5f               | 2F*     | 7/2,6 - 8,,T10276,L1176
C II,923.25,923.19,10831.3,18wH*,2720000.0,0.0347,B,20.844765      -     22.187763,2s2.4d          | 2D   | 5/2,2s2.5f               | 2F*     | 5/2,6 - 6,,T7476,L1176
C II,923.25,923.358,10831.3,18wH*,15400000.0,0.197,B,20.149652      -     21.492405,2s2.4p          | 2P*  | 1/2,2s2.5s               | 2S      | 1/2,2 - 2,,T5109LS,L1176
C II,923.893,923.926,10823.76,11h,31000000.0,0.198,B,20.150477      -     21.492405,2s2.4p          | 2P*  | 3/2,2s2.5s               | 2S      | 1/2,4 - 2,,T5109LS,L1176
