v	1-F	EW0	WLobs	WLvald	ID	Trans	cp	M
 4078.23	 0.147	  33	2452.04	2452.04	MgI 	                 	X  	B
 4078.21	 0.122	  13	2452.05	2452.04	MgI 	                 	X  	B
 4078.19	 0.097	   2	2452.07	2452.04	MgI 	                 	X  	B
 4078.17	 0.082	  30	2452.08	2452.06	CO  	CO6-4R89         	X  	B
 4077.99	 0.150	   5	2452.19	2452.19	CN  	CN1-3P_{2}61.5   	D  	B
 4077.94	 0.306	 209	2452.22	2452.22	CO  	CO7-5R32         	D  	A
 4077.42	 0.194	  14	2452.53	2452.53	CO  	13CO5-3R21       	D  	B
 4077.40	 0.221	 144	2452.55	2452.55	CO  	CO7-5R65         	D  	B
 4076.90	 0.051	  24	2452.85	2452.85	CO  	13CO3-1P10       	S  	A
 4076.65	 0.310	 222	2452.99	2453.00	CO  	CO7-5R31         	S  	A
 4076.45	 0.181	  12	2453.12	2453.12	CO  	CO5-3R104        	D  	B
 4076.40	 0.274	 171	2453.14	2453.14	CO  	CO6-4R7          	D  	A
 4076.11	 0.108	   8	2453.32	2453.33	CO  	13CO2-0P21       	T  	B
 4076.06	 0.211	 122	2453.35	2453.36	CO  	CO7-5R66         	T  	A
 4075.88	 0.366	 270	2453.46	2453.45	CO  	CO4-2P18         	T  	A
 4074.93	 0.047	  18	2454.03	2454.03	CO  	CO6-4R90         	X  	A
 4074.61	 0.300	 138	2454.22	2454.22	CO  	CO7-5R67         	X  	B
 4074.57	 0.400	 175	2454.25	2454.25	CO  	CO3-1P28         	X  	A
 4074.16	 0.220	 139	2454.49	2454.50	CO  	CO5-3P7          	X  	A
 4073.28	 0.222	 137	2455.03	2455.03	CO  	CO6-4R6          	X  	A
 4073.14	 0.164	  20	2455.11	2455.11	CO  	13CO5-3R19       	X  	B
 4073.12	 0.197	  88	2455.12	2455.13	CO  	CO7-5R68         	X  	A
 4072.62	 0.096	  22	2455.42	2455.43	CO  	13CO3-1P11       	X  	A
 4072.55	 0.251	 145	2455.46	2455.46	FeI 	                 	X  	B
 4072.42	 0.348	 167	2455.54	2455.55	CO  	CO2-0P37         	X  	A
 4072.37	 0.382	 170	2455.57	2455.58	CO  	CO7-5R28         	X  	B
 4071.92	 0.061	  20	2455.84	2455.84	CO  	CO5-3R105        	X  	B
 4071.87	 0.091	  31	2455.87	2455.87	FeI 	                 	X  	A
 4071.56	 0.133	  22	2456.06	2456.06	CO  	CO6-4R91         	X  	B
 4071.53	 0.159	  66	2456.08	2456.08	CO  	CO7-5R69         	X  	A
 4071.13	 0.204	 129	2456.32	2456.33	FeI 	                 	X  	B
